Timestamp,AccX,AccY,AccZ,Heart_IR,Phase
0.0016548633575439453,-523,451,1938,120009,0
0.04095029830932617,-506,422,1922,120155,0
0.0820932388305664,-479,424,1927,120264,0
0.12096571922302246,-458,436,1968,120377,0
0.16093921661376953,-443,441,1980,120456,0
0.20120573043823242,-412,432,2004,120498,0
0.24094748497009277,-399,442,2067,120511,0
0.2814319133758545,-352,437,1996,120193,0
0.3199577331542969,-301,449,1952,119502,0
0.3600454330444336,-309,431,1980,119667,0
0.40003418922424316,-283,375,2079,120089,0
0.43993592262268066,-240,306,2100,120279,0
0.480027437210083,-238,196,2167,120336,0
0.5201172828674316,-235,72,2499,120366,0
0.5599343776702881,-134,-35,2702,120350,0
0.6003670692443848,46,-103,2769,120368,0
0.6399476528167725,144,396,2642,120315,0
0.6798865795135498,253,979,1959,120229,0
0.7199125289916992,466,1121,1004,120163,0
0.7600002288818359,311,1060,695,120169,0
0.8001127243041992,308,818,972,120231,0
0.839951753616333,117,548,1512,120297,0
0.8802487850189209,77,306,1888,120219,0
0.9198992252349854,203,96,1902,120112,0
0.9598958492279053,398,-14,2060,120207,0
1.0001106262207031,566,137,2192,120370,0
1.038848638534546,741,194,2086,120496,0
1.0788893699645996,609,348,2069,120554,0
1.1190104484558105,523,347,1999,120601,0
1.1591157913208008,389,366,1951,120623,0
1.1996729373931885,304,437,1996,120672,0
1.2389240264892578,272,462,1925,120731,0
1.278834342956543,227,581,1851,120793,0
1.3188071250915527,247,549,1732,120858,0
1.3588995933532715,190,635,1604,120888,0
1.3988621234893799,159,728,1685,120613,0
1.4388103485107422,41,962,1831,119252,0
1.4787895679473877,24,857,1799,118649,0
1.518716812133789,-48,934,1770,119158,0
1.558793067932129,-163,933,1849,119859,0
1.5989348888397217,-220,1010,1861,120233,0
1.6387341022491455,-231,894,1851,120417,0
1.6787281036376953,-242,919,1800,120533,0
1.718940019607544,-239,928,1790,120596,0
1.757737159729004,-326,889,1794,120672,0
1.7979912757873535,-391,838,1784,120731,0
1.8377578258514404,-319,875,1822,120792,0
1.8777506351470947,-266,977,1804,120847,0
1.9177162647247314,-313,946,1703,120783,0
1.9576928615570068,-467,968,1782,119324,0
1.998000144958496,-572,985,1970,117615,0
2.0376813411712646,-604,952,2058,117298,0
2.077702522277832,-577,908,2027,117803,0
2.1177308559417725,-488,867,2017,118609,0
2.1576921939849854,-370,831,1856,119395,0
2.1983726024627686,-292,736,1691,119816,0
2.2376902103424072,-197,787,1590,119966,0
2.2776808738708496,79,806,1456,120005,0
2.317758321762085,72,711,1347,120104,0
2.3576998710632324,-139,717,1558,120166,0
2.3982110023498535,-117,628,1682,120104,0
2.436734914779663,-599,568,1829,120041,0
2.4766836166381836,-640,661,1569,119872,0
2.516714572906494,-382,539,1315,118049,0
2.556727647781372,-1116,457,1633,116844,0
2.596816301345825,-1190,454,1264,117009,0
2.6367440223693848,-986,271,1167,117705,0
2.6767094135284424,-1508,288,1445,118777,0
2.716665267944336,-1178,275,1137,119479,0
2.756727457046509,-936,154,1284,119626,0
2.796764373779297,-963,-92,1776,119414,0
2.836707592010498,-772,-187,1950,118997,0
2.8767733573913574,-614,-412,2369,118146,0
2.91672682762146,-627,-552,2797,117408,0
2.9567410945892334,-649,-518,2863,116881,0
2.9969522953033447,-556,-511,2812,116623,0
3.0367252826690674,-461,-568,2364,116313,0
3.0768160820007324,-269,-989,1615,115695,0
3.1167521476745605,-118,-1486,1466,115346,0
3.155747175216675,-448,-1967,1855,115353,0
3.1957080364227295,-650,-1728,1923,115320,0
3.2357540130615234,-554,-1574,1797,115247,0
3.2757415771484375,-333,-1748,1268,115214,0
3.3161869049072266,-302,-1838,787,115242,0
3.355713367462158,-406,-1827,700,115192,0
3.3957388401031494,-344,-1784,907,115087,0
3.4357731342315674,-235,-1723,1117,115068,0
3.4757165908813477,-126,-1735,1341,115039,0
3.515686273574829,-158,-1748,1292,115042,0
3.5556893348693848,-305,-1800,956,115036,0
3.595865488052368,-407,-1808,862,114581,0
3.6356775760650635,-444,-1799,859,113986,0
3.6756837368011475,-426,-1799,860,113648,0
3.715784788131714,-403,-1788,957,113567,0
3.755678653717041,-374,-1764,980,113698,0
3.7957050800323486,-356,-1751,974,113871,0
3.835681438446045,-341,-1766,993,113968,0
3.87473201751709,-370,-1781,990,113964,0
3.914811849594116,-364,-1779,989,113882,0
3.954688787460327,-416,-1772,996,113829,0
3.9948158264160156,-371,-1758,969,113811,0
4.034751653671265,-373,-1766,979,113834,0
4.07469916343689,-411,-1755,983,113864,0
4.114870071411133,-428,-1743,993,113784,0
4.154682397842407,-415,-1732,979,113310,0
4.194709539413452,-416,-1743,968,112828,0
4.234679222106934,-422,-1753,995,112619,0
4.27465558052063,-418,-1753,1003,112686,0
4.314992666244507,-412,-1741,1009,112867,0
4.354662656784058,-404,-1742,959,113059,0
4.394719123840332,-414,-1745,979,113174,0
4.434693813323975,-422,-1751,1000,113181,0
4.474671840667725,-420,-1756,993,113243,0
4.5148396492004395,-356,-1776,1059,113380,0
4.55465030670166,-501,-1732,996,113707,0
4.593664169311523,-420,-1749,953,114222,0
4.633663177490234,-347,-1752,1041,114957,0
