Timestamp,AccX,AccY,AccZ,Heart_IR,Phase
0.034096717834472656,-1195,-1522,788,117095,0
0.07377195358276367,-1151,-1485,808,117070,0
0.11373066902160645,-1104,-1437,811,117077,0
0.15383219718933105,-1086,-1423,813,117081,0
0.19437885284423828,-1105,-1403,814,117120,0
0.23376083374023438,-1113,-1466,655,117169,0
0.27280259132385254,-1176,-1442,591,117190,0
0.3127174377441406,-1291,-1440,529,117216,0
0.35274267196655273,-1351,-1419,527,117235,0
0.3927323818206787,-1404,-1450,490,117261,0
0.43274450302124023,-1410,-1461,493,117143,0
0.47278547286987305,-1343,-1451,527,116791,0
0.5127217769622803,-1313,-1458,581,116803,0
0.5527467727661133,-1280,-1468,622,116950,0
0.5930483341217041,-1228,-1468,647,117025,0
0.6327106952667236,-1202,-1500,678,117061,0
0.6728000640869141,-1163,-1523,684,117087,0
0.7130076885223389,-1142,-1535,661,117085,0
0.7518165111541748,-1195,-1515,647,117134,0
0.7917218208312988,-1189,-1546,650,117165,0
0.8317093849182129,-1173,-1572,637,117196,0
0.8717379570007324,-1168,-1586,608,117220,0
0.9117321968078613,-1190,-1610,643,117234,0
0.9518496990203857,-1242,-1677,670,117246,0
0.9919252395629883,-1286,-1619,627,117245,0
1.0317373275756836,-1215,-1454,636,117222,0
1.0717837810516357,-1112,-1390,678,117176,0
1.1118295192718506,-1088,-1351,663,116913,0
1.151777744293213,-1078,-1409,565,116798,0
1.1924796104431152,-1125,-1581,574,116955,0
1.2308752536773682,-1198,-1953,658,117073,0
1.2711870670318604,-1316,-1918,531,117122,0
1.3110899925231934,-1254,-1599,421,117173,0
1.3508586883544922,-1085,-1327,563,117181,0
1.3912761211395264,-1074,-1231,790,117196,0
1.4309585094451904,-1096,-1400,862,117182,0
1.4708256721496582,-1209,-1681,656,117174,0
1.5107929706573486,-1271,-1732,505,117142,0
1.5554759502410889,-1282,-1627,474,117126,0
1.5910754203796387,-1191,-1462,603,117116,0
1.6311461925506592,-1172,-1401,694,117130,0
1.6696970462799072,-1211,-1489,634,117164,0
1.7102112770080566,-1238,-1572,545,116921,0
1.7497491836547852,-1299,-1564,518,116669,0
1.7898402214050293,-1352,-1497,542,116823,0
1.82973051071167,-1332,-1471,616,116984,0
1.8698382377624512,-1246,-1498,596,117068,0
