Timestamp,AccX,AccY,AccZ,Heart_IR,Phase
0.01973700523376465,-1919,317,903,104512,0
0.05921626091003418,-2714,562,489,104501,0
0.09924435615539551,-2109,1008,246,104585,0
0.13924407958984375,-2152,1288,58,104788,0
0.17923665046691895,-2216,1440,336,104972,0
0.21949028968811035,-2450,1604,435,105121,0
0.25926804542541504,-2308,1545,345,105224,0
0.29926180839538574,-2104,1325,215,105291,0
0.3392784595489502,-2447,1078,296,105273,0
0.37827086448669434,-2650,732,683,105117,0
0.4188511371612549,-2499,508,871,104774,0
0.458249568939209,-1699,320,615,104067,0
0.4982271194458008,-1076,333,326,103281,0
0.5383851528167725,-761,440,334,102779,0
0.5783624649047852,-684,492,558,102504,0
0.6854419708251953,-582,449,890,102164,0
0.6882848739624023,-532,197,919,101945,0
0.6980891227722168,-1444,27,519,101991,0
0.7381737232208252,-2066,58,689,101968,0
0.778109073638916,-2936,247,740,101903,0
0.81805419921875,-2752,494,531,101928,0
0.8581113815307617,-2763,664,479,102097,0
0.8971292972564697,-2683,686,283,102448,0
0.9373266696929932,-2400,691,264,102759,0
0.9770855903625488,-1831,716,298,103046,0
1.0170516967773438,-1384,754,295,103391,0
1.0570790767669678,-1653,775,237,103732,0
1.0972681045532227,-2278,712,63,104035,0
1.137646198272705,-2937,574,-366,104220,0
1.1774137020111084,-2872,396,-480,104262,0
1.2173268795013428,-2371,318,-533,104260,0
1.2571423053741455,-2191,304,-462,104328,0
1.2970685958862305,-2067,393,-326,104323,0
1.3371336460113525,-1946,409,-393,104011,0
1.3760769367218018,-1714,417,-462,103506,0
1.4161772727966309,-1688,448,-548,103153,0
1.4560892581939697,-1718,459,-574,103035,0
1.4960963726043701,-1758,458,-740,102996,0
1.5361049175262451,-1682,515,-618,102962,0
1.5762126445770264,-1558,545,-492,102992,0
1.6163661479949951,-1545,591,-397,102950,0
1.6563057899475098,-1562,728,-257,102883,0
1.6960666179656982,-1526,798,-378,102899,0
1.7361421585083008,-1562,863,-502,103032,0
1.776531457901001,-1663,918,-498,103180,0
1.8160476684570312,-1808,931,-586,103393,0
1.8578615188598633,-1952,954,-707,103593,0
1.8950796127319336,-2024,1016,-617,103741,0
1.9350450038909912,-2052,981,-656,103877,0
1.9750299453735352,-1973,973,-556,103981,0
2.0150747299194336,-1927,928,-476,104090,0
2.055331230163574,-1807,884,-510,104198,0
2.095133066177368,-1692,878,-532,104294,0
2.1350982189178467,-1755,909,-547,104359,0
2.1751046180725098,-1675,959,-496,104420,0
2.2151591777801514,-1615,968,-492,104450,0
2.255021572113037,-1576,995,-477,104269,0
2.2950501441955566,-1577,1034,-371,103760,0
2.33501935005188,-1530,1069,-307,103378,0
2.3750312328338623,-1491,1091,-348,103278,0
2.414053201675415,-1494,1126,-331,103270,0
2.4541308879852295,-1558,1150,-353,103290,0
2.4940428733825684,-1585,1160,-465,103375,0
2.5340728759765625,-1630,1181,-512,103425,0
2.574115514755249,-1644,1188,-514,103407,0
2.614027976989746,-1743,1146,-507,103373,0
2.6540396213531494,-1699,1120,-421,103326,0
2.694169521331787,-1487,1124,-389,103331,0
2.7340519428253174,-1419,1195,-274,103305,0
2.7740442752838135,-1440,1393,-123,103337,0
2.814058303833008,-1426,1536,1,103357,0
2.854029893875122,-1585,1661,285,103443,0
2.894179105758667,-1581,1790,540,103505,0
2.933042049407959,-1386,1654,647,103586,0
2.9730210304260254,-1489,1503,736,103612,0
3.0130372047424316,-1479,1473,1311,103506,0
3.0531091690063477,-1087,1330,689,103579,0
3.093022584915161,-845,1110,566,103809,0
3.1330478191375732,-1099,1038,1423,103912,0
3.1730167865753174,-1004,865,895,103973,0
3.213045120239258,-1795,590,1292,103699,0
3.253018379211426,-1110,590,1356,103133,0
3.294004201889038,-1341,304,1002,102698,0
3.3330986499786377,-2421,295,2090,102222,0
3.3730106353759766,-2053,345,1848,101874,0
3.4137513637542725,-2036,192,1259,101719,0
3.452148914337158,-1903,394,963,101789,0
3.4923884868621826,-1591,377,528,101944,0
3.532144069671631,-1891,374,579,101953,0
3.5720324516296387,-1415,568,495,102007,0
3.612046480178833,-1797,559,-77,102229,0
3.652035713195801,-1443,878,-235,102397,0
3.692286968231201,-1331,886,-885,102669,0
3.732128143310547,-1550,1066,-770,102823,0
3.7720911502838135,-1648,1180,-671,103058,0
3.812061071395874,-1650,1222,-843,103355,0
3.8520710468292236,-1713,1335,-818,103466,0
3.8922178745269775,-1755,1379,-910,103571,0
3.9312658309936523,-1656,1414,-998,103664,0
3.971078634262085,-1600,1441,-1112,103752,0
4.011093854904175,-1753,1501,-983,103810,0
4.051074028015137,-1729,1549,-706,103875,0
4.091044902801514,-1664,1514,-357,103953,0
4.1310951709747314,-1687,1467,128,103820,0
4.17105770111084,-1612,1445,207,103284,0
4.211015939712524,-1117,1204,-416,102775,0
4.251017808914185,-1610,1187,-194,102543,0
4.291474342346191,-2170,1342,370,102508,0
4.331064224243164,-2164,1281,168,102654,0
4.3709940910339355,-2337,1418,611,102945,0
4.411035060882568,-1312,1268,480,103147,0
4.449997186660767,-755,1003,477,103193,0
4.490073204040527,-1740,582,1554,103179,0
4.530004978179932,-1563,303,1111,103116,0
4.570004463195801,-1115,-37,821,103101,0
4.610030651092529,-1964,-188,1673,103013,0
4.650023460388184,-1871,-184,1046,102915,0
4.690028190612793,-1998,-247,863,102795,0
4.730078458786011,-2212,-25,1181,102658,0
4.769990921020508,-1415,117,566,102621,0
4.8100011348724365,-1896,185,659,102657,0
4.849999189376831,-1958,391,722,102682,0
4.890000820159912,-1731,556,643,102729,0
4.929021596908569,-2003,676,572,102797,0
4.969024181365967,-1801,691,262,102878,0
5.009029388427734,-1830,791,149,102990,0
5.049021005630493,-2236,728,-254,103072,0
5.089037656784058,-2032,807,-648,102850,0
5.129060983657837,-1870,952,-849,102417,0
5.169028043746948,-1966,994,-615,102117,0
5.20900559425354,-1635,1021,26,101940,0
5.249116659164429,-1612,1200,174,101827,0
5.289085865020752,-1883,1049,-502,101915,0
5.329664468765259,-1902,1020,-827,102058,0
5.36904764175415,-1907,1030,-642,102063,0
5.409083604812622,-1882,938,-623,102101,0
5.449036359786987,-1741,874,-450,102095,0
5.4880592823028564,-1958,865,-278,102139,0
5.528150796890259,-1842,804,-314,102198,0
5.56805944442749,-1647,680,-452,102302,0
5.60808801651001,-1791,686,-396,102364,0
5.648157119750977,-1906,690,-403,102407,0
5.688092947006226,-1856,647,-398,102460,0
5.7281575202941895,-1943,731,-273,102490,0
5.7681379318237305,-1936,780,-336,102533,0
5.808069944381714,-1818,764,-433,102574,0
5.84806489944458,-1888,731,-419,102620,0
5.888094186782837,-2003,799,-220,102690,0
5.928270578384399,-1937,759,-335,102784,0
5.968091726303101,-1937,710,-204,102850,0
6.007078647613525,-1777,700,-123,102906,0
6.047077655792236,-1845,672,-118,102795,0
6.0870749950408936,-2011,663,-217,102351,0
6.127072811126709,-1969,676,-169,101866,0
6.16705846786499,-1874,702,-99,101647,0
6.207067489624023,-1876,712,-72,101628,0
6.247019529342651,-1856,714,-44,101653,0
6.287038564682007,-1888,706,-47,101725,0
6.327035665512085,-1857,724,-80,101809,0
6.367081165313721,-1909,715,-90,101856,0
6.407059192657471,-1917,721,-61,101866,0
6.4471094608306885,-1907,721,-73,101951,0
6.487084865570068,-1871,710,-97,102076,0
6.5260844230651855,-1883,706,-89,102211,0
6.56603217124939,-1873,706,-113,102346,0
6.606072664260864,-1904,697,-126,102431,0
6.646051645278931,-1914,698,-140,102538,0
6.686030864715576,-1934,703,-162,102615,0
6.726014852523804,-1946,712,-115,102692,0
6.766019105911255,-1914,700,-138,102747,0
6.806092977523804,-1901,711,-114,102797,0
6.846099853515625,-1921,697,-184,102826,0
6.886072874069214,-1907,723,-155,102857,0
6.92604660987854,-1899,781,-181,102921,0
6.9661524295806885,-1836,718,-96,102958,0
7.0060741901397705,-1781,693,-242,102898,0
7.045078277587891,-1957,669,-444,102574,0
7.085103988647461,-2072,684,-474,102216,0
7.12505578994751,-2027,712,-463,102070,0
7.165038585662842,-1892,731,-396,102063,0
7.205108404159546,-1787,725,-306,102050,0
7.245152711868286,-1662,699,-234,102081,0
7.285094738006592,-1699,670,-228,102156,0
7.325050354003906,-1748,660,-171,102127,0
7.365492105484009,-1704,653,-224,102078,0
7.405072450637817,-1808,625,-234,102067,0
7.445113897323608,-1759,618,-90,102088,0
7.485041856765747,-2263,583,-211,102136,0
7.525086164474487,-2216,590,-192,102187,0
7.5651161670684814,-2239,628,-161,102246,0
7.604095697402954,-2177,646,-118,102279,0
7.64406681060791,-1948,673,-50,102315,0
7.684062719345093,-1958,656,-93,102382,0
7.724041938781738,-2038,622,-81,102460,0
7.7649986743927,-1978,598,-78,102511,0
7.804082155227661,-1895,581,-85,102543,0
7.84411358833313,-1822,600,-89,102589,0
7.884429693222046,-1795,612,-150,102650,0
7.924007892608643,-1850,632,-181,102718,0
7.964040279388428,-1897,648,-202,102742,0
8.004103183746338,-1993,664,-208,102755,0
8.044091939926147,-1993,659,-217,102461,0
8.084133386611938,-1972,674,-183,102096,0
8.124072313308716,-1952,681,-172,101865,0
8.163605690002441,-1963,663,-205,101843,0
8.203091144561768,-1918,645,-184,101853,0
8.243109703063965,-1976,617,-96,101900,0
8.283154726028442,-1910,614,-93,101973,0
8.32303500175476,-1876,613,-66,101995,0
8.363132953643799,-1887,612,-75,101985,0
8.403097867965698,-1902,630,-108,102026,0
8.44312071800232,-1836,649,-123,102050,0
8.483094215393066,-1878,663,-123,102134,0
8.523067951202393,-1915,687,-145,102173,0
8.56308650970459,-1880,711,-166,102270,0
8.603102207183838,-1924,721,-164,102313,0
8.643121480941772,-2016,755,-161,102387,0
8.683115243911743,-2066,771,-266,102470,0
8.722079753875732,-2000,782,-225,102554,0
8.762053728103638,-1891,770,-150,102641,0
8.802268028259277,-1815,748,-146,102708,0
